model,test_accuracy,train_time_sec,predict_time_sec
KNN,0.88,0.0,0.1610715389251709
Dummy,0.34,0.0010008811950683594,0.0011305809020996094
LogisticRegression,0.9133333333333333,0.008503913879394531,0.0
DecisionTree,0.7866666666666666,0.00501561164855957,0.0
