k,train_accuracy,test_accuracy
1,1.0,1.0
3,1.0,0.6666666666666666
5,0.7142857142857143,0.6666666666666666
10,0.42857142857142855,0.3333333333333333
20,0.42857142857142855,0.3333333333333333
50,0.42857142857142855,0.3333333333333333
